ID,Expression,HalideResult,HalideTime
1,( <= ( max ( + ( min ( min ( - ( / ( - ( min ( max ( min ( * v1 8 ) 2004 ) 5 ) ( + ( + v2 v3 ) 255 ) ) ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 252 ) 1 ) ( / ( - ( - ( + v2 v3 ) ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 248 ) 252 ) ) ( - ( + 0 ( / ( + v5 251 ) 252 ) ) 1 ) ) 1 ) ( min ( max ( / ( + ( - v3 ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 255 ) 252 ) 0 ) ( + ( / ( + v5 251 ) 252 ) 0 ) ) ) ( min ( max ( / ( + ( - v3 ( max ( * ( max ( min ( / v4 8 ) 249 ) 0 ) 8 ) 4 ) ) 255 ) 252 ) 0 ) ( + ( / ( + v5 251 ) 252 ) 0 ) ) ),0,2945
2,( != ( / ( + ( - v0 v1 ) 20 ) 9 ) 0 ),0,445
3,( == ( * v0 2 ) ( - ( + ( * v0 2 ) ( + ( * ( - ( / ( min ( + ( * ( min ( / ( min ( + ( * v1 2 ) 1 ) v2 ) 2 ) v1 ) 2 ) 1 ) v2 ) 2 ) v1 ) 4 ) 8 ) ) 1 ) ),0,241
4,( == ( min ( max ( max ( - ( max ( min v0 2002 ) 3 ) 3 ) v1 ) ( + v2 v1 ) ) ( + ( + ( max ( min v0 2002 ) 3 ) v3 ) 3 ) ) ( min ( max ( max ( - ( max ( min v0 2002 ) 3 ) 3 ) v1 ) ( + v2 v1 ) ) ( + ( + ( max ( min v0 2002 ) 3 ) v3 ) 3 ) ) ),1,96
5,( != ( + ( / ( - ( max v0 0 ) v1 ) 3 ) 3 ) 0 ),0,479
6,( == ( + ( / ( - ( / ( + ( + v0 v1 ) 39 ) 32 ) ( / ( - v1 8 ) 32 ) ) 36 ) 1 ) ( + ( / ( - ( / ( + ( + v0 v1 ) 39 ) 32 ) ( / ( - v1 8 ) 32 ) ) 36 ) 1 ) ),1,76
7,( == ( min ( * v0 8 ) ( + ( * ( + ( / v1 8 ) ( * v2 63 ) ) 8 ) 485 ) ) ( min ( * v0 8 ) ( + ( * ( + ( / v1 8 ) ( * v2 63 ) ) 8 ) 485 ) ) ),1,52
8,( == ( - ( + ( * v0 8 ) ( * v1 33 ) ) ( min ( - ( * v2 8 ) ( * v3 65 ) ) ( + ( + ( min ( * v1 33 ) 32 ) ( * v0 8 ) ) 23 ) ) ) ( - ( + ( * v0 8 ) ( * v1 33 ) ) ( min ( - ( * v2 8 ) ( * v3 65 ) ) ( + ( + ( min ( * v1 33 ) 32 ) ( * v0 8 ) ) 23 ) ) ) ),1,95
9,( == ( min ( max ( min ( + ( / v0 8 ) v1 ) 249 ) 0 ) ( + ( max ( min ( / v0 8 ) 256 ) 7 ) 114 ) ) ( min ( max ( min ( + ( / v0 8 ) v1 ) 249 ) 0 ) ( + ( max ( min ( / v0 8 ) 256 ) 7 ) 114 ) ) ),1,63
10,( == ( + ( max ( min ( / ( + v0 v1 ) 8 ) 249 ) 0 ) ( * v2 4 ) ) ( + ( max ( min ( / ( + v0 v1 ) 8 ) 249 ) 0 ) ( * v2 4 ) ) ),1,49
11,( == ( + ( * v0 61 ) ( * ( / ( - 375 ( % ( + ( min ( * v1 125 ) ( - v2 125 ) ) v3 ) 500 ) ) 500 ) 512 ) ) ( + ( * v0 61 ) ( * ( / ( - 375 ( % ( + ( min ( * v1 125 ) ( - v2 125 ) ) v3 ) 500 ) ) 500 ) 512 ) ) ),1,75
